Crop,Site_code,Harvest_month,Year,ANPP,N_amt,N_cat,PPT
Maize,UCB,10,2007,20621.12278,267.4,High,795.01
Maize,UCB,10,2008,18015.91094,36.7,Low,948.944
Maize,UCB,10,2008,17133.8278,168.5,High,948.944
Maize,UCB,10,2009,20774.67002,38.4,Low,764.63
Maize,UCB,10,2009,18739.36896,170.2,High,764.63
Maize,UCB,10,2010,19963.2622,38.4,Low,766.824
Maize,UCB,10,2010,20294.90653,170.2,High,766.824
Maize,UCB,10,2011,13653.29394,18.8,Low,1146.554
Maize,UCB,10,2011,13706.10226,150.6,High,1146.554
Maize,NH,8,2007,17992.12599,202,High,756.2399998
Maize,NH,9,2011,22120.29747,202,High,865.890993
Maize,NH,9,2018,28261.72354,202,High,859.145
Maize,NH,10,2015,30431.75853,202,High,982.6180002
Maize,UMRB,9,2002,23656.05686,235.2,High,719.7
Maize,UMRB,9,2004,21525.41854,230.272,High,1109.3
Maize,UMRB,9,2010,24632.97977,179.5323712,High,1145.02184
Maize,UMRB,9,2012,24642.96176,196.578592,High,519.816
Maize,UMRB,9,2014,18432.05068,195.997984,High,851.658
Maize,UMRB,10,2006,22934.52281,189.74032,High,729.342
Maize,UMRB,10,2008,24569.57205,137.0944,High,877.57
Soybean,KBS,9,1997,5032.808651,0,No,867.604
Soybean,KBS,9,1997,4676.15,2,No,867.604
Soybean,KBS,9,2003,3535.68,0,No,751.9924
Soybean,KBS,9,2003,4890.99,7,Low,751.9924
Soybean,KBS,9,2012,2947.253333,0,No,795.92
Soybean,KBS,9,2012,3494.273333,9,Low,795.92
Soybean,KBS,9,2012,3823.273333,10,Low,795.92
Soybean,KBS,9,2012,3321.423333,17,Low,795.92
Soybean,KBS,9,2015,6516.868667,1,No,1172.54
Soybean,KBS,9,2021,8652.37,0,No,922
Soybean,KBS,10,1990,11093.16167,0,No,973.15
Soybean,KBS,10,1991,6191.0051,0,No,1044.92
Soybean,KBS,10,1992,5384.67,0,No,821.1
Soybean,KBS,10,1994,6358.668775,0,No,803.57
Soybean,KBS,10,1994,6213.3772,2,No,803.57
Soybean,KBS,10,2000,4818.686889,0,No,888.619
Soybean,KBS,10,2000,5578.563333,1,No,888.619
Soybean,KBS,10,2006,5298.460333,0,No,1060.5366
Soybean,KBS,10,2006,6050.23,1,No,1060.5366
Soybean,KBS,10,2009,3859.855172,0,No,925.25
Soybean,KBS,10,2009,4615.130556,1,No,925.25
Soybean,KBS,10,2015,4551.143333,0,No,1136.51
Soybean,KBS,10,2015,7448.76,1,No,1136.51
Soybean,KBS,10,2018,7350.626667,0,No,1100
Soybean,KBS,10,2018,6696.416667,1,No,1100
Soybean,KBS,10,2018,6087.35,2,No,1100
Soybean,KBS,10,2021,5715.486667,0,No,991
Soybean,PRHPA,7,2019,7645.731,0,No,631.0376
Soybean,PRHPA,7,2019,7398.519,33.592,Low,631.0376
Soybean,PRHPA,7,2019,6687.292,67.184,High,631.0376
Soybean,PRHPA,9,1984,4513.157,0,No,790.1950007
Soybean,PRHPA,9,1984,4269.737,33.592,Low,790.1950007
Soybean,PRHPA,9,1984,4355.263,67.184,High,790.1950007
Soybean,PRHPA,9,1985,7544.712,0,No,761.8769963
Soybean,PRHPA,9,1985,7237.1765,33.592,Low,761.8769963
Soybean,PRHPA,9,1985,7124.375,67.184,High,761.8769963
Soybean,PRHPA,9,1987,5804.732,0,No,800.1190018
Soybean,PRHPA,9,1987,5535.4468,33.592,Low,800.1190018
Soybean,PRHPA,9,1987,5891.0996,67.184,High,800.1190018
Soybean,PRHPA,9,1988,5367.1884,0,No,482.346
Soybean,PRHPA,9,1988,5407.2812,33.592,Low,482.346
Soybean,PRHPA,9,1988,5684.0572,67.184,High,482.346
Soybean,PRHPA,9,1989,4611.8636,0,No,543.052
Soybean,PRHPA,9,1989,4574.0936,33.592,Low,543.052
Soybean,PRHPA,9,1989,4903.76,67.184,High,543.052
Soybean,PRHPA,9,1990,4885.6176,0,No,593.5019994
Soybean,PRHPA,9,1990,4915.8664,33.592,Low,593.5019994
Soybean,PRHPA,9,1990,5199.9152,67.184,High,593.5019994
Soybean,PRHPA,9,1991,5499.0764,0,No,758.359999
Soybean,PRHPA,9,1991,5119.3704,33.592,Low,758.359999
Soybean,PRHPA,9,1991,5934.3036,67.184,High,758.359999
Soybean,PRHPA,9,1992,5412.1216,0,No,649.9219992
Soybean,PRHPA,9,1992,5512.726,33.592,Low,649.9219992
Soybean,PRHPA,9,1992,5847.9232,67.184,High,649.9219992
Soybean,PRHPA,9,1993,5930.518,0,No,1031.934004
Soybean,PRHPA,9,1993,6054.638,33.592,Low,1031.934004
Soybean,PRHPA,9,1993,6538.0464,67.184,High,1031.934004
Soybean,PRHPA,9,1994,5980.5332,0,No,794.062
Soybean,PRHPA,9,1994,6171.6472,33.592,Low,794.062
Soybean,PRHPA,9,1994,5944.2832,67.184,High,794.062
Soybean,PRHPA,9,1995,4023.9604,0,No,590.07
Soybean,PRHPA,9,1995,4276.6768,33.592,Low,590.07
Soybean,PRHPA,9,1995,4898.5444,67.184,High,590.07
Soybean,PRHPA,9,1996,6590.1264,0,No,556.21
Soybean,PRHPA,9,1996,6451.5504,33.592,Low,556.21
Soybean,PRHPA,9,1996,6679.3748,67.184,High,556.21
Soybean,PRHPA,9,1997,5496.8964,0,No,566.293
Soybean,PRHPA,9,1997,5498.5028,33.592,Low,566.293
Soybean,PRHPA,9,1997,5370.71,67.184,High,566.293
Soybean,PRHPA,9,1998,6803.954,0,No,849.17
Soybean,PRHPA,9,1998,6981.3036,33.592,Low,849.17
Soybean,PRHPA,9,1998,7124.4672,67.184,High,849.17
Soybean,PRHPA,9,1999,7803.1192,0,No,812.749
Soybean,PRHPA,9,1999,7826.2916,33.592,Low,812.749
Soybean,PRHPA,9,1999,8189.2492,67.184,High,812.749
Soybean,PRHPA,9,2000,6621.5584,0,No,500.913
Soybean,PRHPA,9,2000,7028.91,33.592,Low,500.913
Soybean,PRHPA,9,2000,7606.7284,67.184,High,500.913
Soybean,PRHPA,9,2001,7638.2744,0,No,683.515
Soybean,PRHPA,9,2001,7936.7616,33.592,Low,683.515
Soybean,PRHPA,9,2001,8161.2588,67.184,High,683.515
Soybean,PRHPA,9,2002,5804.56,0,No,569.9
Soybean,PRHPA,9,2002,5518.0036,33.592,Low,569.9
Soybean,PRHPA,9,2002,6184.9544,67.184,High,569.9
Soybean,PRHPA,9,2003,5874.5372,0,No,522.199
Soybean,PRHPA,9,2003,5994.7572,33.592,Low,522.199
