year,site_code,type,crop,cereal,map,anpp,ppt,wue
1994,PRHPA,Croplands,Maize,Cereal,702.199915,18760.324,794.062,23.62576726
1994,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,5711.07,794.062,7.192221766
1995,CPER,Rangelands,Range,Range,318.75,1073.802393,393.25,2.730584598
1995,KBS,Croplands,Winter_Wheat,Cereal,942.5095796,10250.91,856.08,11.97424306
1995,NP,Croplands,Spring_Wheat,Cereal,447.1199993,6460.199251,679.4,9.508683031
1995,PRHPA,Croplands,Maize,Cereal,702.199915,6812.63,590.07,11.54546071
1995,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,5024.502,590.07,8.515094819
1996,CPER,Rangelands,Range,Range,318.75,1188.971429,394.208,3.016101724
1996,KBS,Croplands,Maize,Cereal,942.5095796,9253.303333,691.8,13.37569143
1996,NP,Croplands,Spring_Wheat,Cereal,447.1199993,9449.197243,367.2,25.73310796
1996,PRHPA,Croplands,Maize,Cereal,702.199915,13072.326,543.51,24.05167522
1996,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,6391.9,556.21,11.49188256
1997,CPER,Rangelands,Range,Range,318.75,978.5444444,482.346,2.028718896
1997,KBS,Croplands,Soybean,Non-Cereal,942.5095796,5231.646667,867.604,6.029993714
1997,NP,Croplands,Spring_Wheat,Cereal,447.1199993,6777.270941,400.0,16.94317735
1997,PRHPA,Croplands,Maize,Cereal,702.199915,13363.944,641.477,20.83308365
1997,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,5435.182,566.293,9.597826567
1998,CPER,Rangelands,Range,Range,318.75,770.6844444,308.102,2.501393839
1998,KBS,Croplands,Winter_Wheat,Cereal,942.5095796,6488.61,832.3316,7.795703059
1998,NP,Croplands,Spring_Wheat,Cereal,447.1199993,5977.345648,451.3,13.24472778
1998,PRHPA,Croplands,Maize,Cereal,702.199915,15690.386,849.17,18.47732021
1998,PRHPA,Croplands,Soybean,Non-Cereal,702.199915,6584.62,849.17,7.754183497
