crop,site_code,harvest_month,year,anpp,n_amt,n_cat,ppt,type,wue
maize,PRHPA,9,2000,11839.52533,0.0,No,500.913,Croplands,23.63589152208068
maize,PRHPA,9,2000,11839.52533,0.0,No,500.913,Pasture,23.63589152208068
maize,PRHPA,9,2000,10681.7692,89.998,Low,500.913,Croplands,21.324599680982526
maize,PRHPA,9,2000,10681.7692,89.998,Low,500.913,Pasture,21.324599680982526
maize,PRHPA,9,2000,12197.403,179.996,High,500.913,Croplands,24.35034227500584
maize,PRHPA,9,2000,12197.403,179.996,High,500.913,Pasture,24.35034227500584
maize,PRHPA,9,2000,11449.9,60.0,Low,500.913,Croplands,22.8580611802848
maize,PRHPA,9,2000,11449.9,60.0,Low,500.913,Pasture,22.8580611802848
maize,PRHPA,9,2000,11005.76667,120.0,High,500.913,Croplands,21.97141353887801
maize,PRHPA,9,2000,11005.76667,120.0,High,500.913,Pasture,21.97141353887801
maize,PRHPA,9,2000,12609.36667,180.0,High,500.913,Croplands,25.172767865876907
maize,PRHPA,9,2000,12609.36667,180.0,High,500.913,Pasture,25.172767865876907
maize,PRHPA,9,2001,10363.70067,0.0,No,683.515,Croplands,15.162360255444284
maize,PRHPA,9,2001,10363.70067,0.0,No,683.515,Pasture,15.162360255444284
maize,PRHPA,9,2001,11633.934,89.998,Low,683.515,Croplands,17.020744241165154
maize,PRHPA,9,2001,11633.934,89.998,Low,683.515,Pasture,17.020744241165154
maize,PRHPA,9,2001,13037.009,179.996,High,683.515,Croplands,19.07347900192388
maize,PRHPA,9,2001,13037.009,179.996,High,683.515,Pasture,19.07347900192388
maize,PRHPA,9,2001,8611.641667,60.0,Low,683.515,Croplands,12.599052935195278
maize,PRHPA,9,2001,8611.641667,60.0,Low,683.515,Pasture,12.599052935195278
maize,PRHPA,9,2001,9521.916667,120.0,High,683.515,Croplands,13.93080863916666
maize,PRHPA,9,2001,9521.916667,120.0,High,683.515,Pasture,13.93080863916666
maize,PRHPA,9,2001,11201.36667,180.0,High,683.515,Croplands,16.387887127568526
maize,PRHPA,9,2001,11201.36667,180.0,High,683.515,Pasture,16.387887127568526
maize,PRHPA,9,2002,6738.174667,0.0,No,569.9,Croplands,11.82343335146517
maize,PRHPA,9,2002,6738.174667,0.0,No,569.9,Pasture,11.82343335146517
maize,PRHPA,9,2002,7967.73,89.998,Low,569.9,Croplands,13.98092647832953
maize,PRHPA,9,2002,7967.73,89.998,Low,569.9,Pasture,13.98092647832953
maize,PRHPA,9,2002,9161.415,179.996,High,569.9,Croplands,16.075478154062118
maize,PRHPA,9,2002,9161.415,179.996,High,569.9,Pasture,16.075478154062118
maize,PRHPA,9,2002,7686.458333,60.0,Low,569.9,Croplands,13.487380826460782
maize,PRHPA,9,2002,7686.458333,60.0,Low,569.9,Pasture,13.487380826460782
maize,PRHPA,9,2002,9063.283334,120.0,High,569.9,Croplands,15.903287127566239
maize,PRHPA,9,2002,9063.283334,120.0,High,569.9,Pasture,15.903287127566239
maize,PRHPA,9,2002,9884.4,180.0,High,569.9,Croplands,17.344095455343044
maize,PRHPA,9,2002,9884.4,180.0,High,569.9,Pasture,17.344095455343044
maize,PRHPA,9,2003,11153.88867,0.0,No,522.199,Croplands,21.359460033435532
maize,PRHPA,9,2003,11153.88867,0.0,No,522.199,Pasture,21.359460033435532
maize,PRHPA,9,2003,12753.6532,89.998,Low,522.199,Croplands,24.42297514932047
maize,PRHPA,9,2003,12753.6532,89.998,Low,522.199,Pasture,24.42297514932047
maize,PRHPA,9,2003,14630.0805,179.996,High,522.199,Croplands,28.016293596885482
maize,PRHPA,9,2003,14630.0805,179.996,High,522.199,Pasture,28.016293596885482
maize,PRHPA,9,2003,8833.825,60.0,Low,522.199,Croplands,16.916587354629176
maize,PRHPA,9,2003,8833.825,60.0,Low,522.199,Pasture,16.916587354629176
maize,PRHPA,9,2003,11986.28333,120.0,High,522.199,Croplands,22.953478137644847
maize,PRHPA,9,2003,11986.28333,120.0,High,522.199,Pasture,22.953478137644847
maize,PRHPA,9,2003,13205.85,180.0,High,522.199,Croplands,25.288922422294952
maize,PRHPA,9,2003,13205.85,180.0,High,522.199,Pasture,25.288922422294952
maize,PRHPA,9,2004,14284.63467,0.0,No,617.929,Croplands,23.11695141351191
maize,PRHPA,9,2004,14284.63467,0.0,No,617.929,Pasture,23.11695141351191
maize,PRHPA,9,2004,14696.8768,89.998,Low,617.929,Croplands,23.784086521267007
maize,PRHPA,9,2004,14696.8768,89.998,Low,617.929,Pasture,23.784086521267007
maize,PRHPA,9,2004,17269.5925,179.996,High,617.929,Croplands,27.947535234630514
maize,PRHPA,9,2004,17269.5925,179.996,High,617.929,Pasture,27.947535234630514
maize,PRHPA,9,2004,15393.75833,60.0,Low,617.929,Croplands,24.91185610320927
maize,PRHPA,9,2004,15393.75833,60.0,Low,617.929,Pasture,24.91185610320927
maize,PRHPA,9,2004,18068.56667,120.0,High,617.929,Croplands,29.24052224446498
maize,PRHPA,9,2004,18068.56667,120.0,High,617.929,Pasture,29.24052224446498
maize,PRHPA,9,2004,16508.3,180.0,High,617.929,Croplands,26.715528806707567
maize,PRHPA,9,2004,16508.3,180.0,High,617.929,Pasture,26.715528806707567
maize,PRHPA,9,2005,11364.07133,0.0,No,635.152,Croplands,17.89189253910875
maize,PRHPA,9,2005,11364.07133,0.0,No,635.152,Pasture,17.89189253910875
maize,PRHPA,9,2005,11456.0468,89.998,Low,635.152,Croplands,18.036701136106
maize,PRHPA,9,2005,11456.0468,89.998,Low,635.152,Pasture,18.036701136106
maize,PRHPA,9,2005,13492.297,179.996,High,635.152,Croplands,21.242626961735144
maize,PRHPA,9,2005,13492.297,179.996,High,635.152,Pasture,21.242626961735144
maize,PRHPA,9,2005,8830.383334,60.0,Low,635.152,Croplands,13.902787575257575
maize,PRHPA,9,2005,8830.383334,60.0,Low,635.152,Pasture,13.902787575257575
maize,PRHPA,9,2005,11155.1,120.0,High,635.152,Croplands,17.56288258558581
maize,PRHPA,9,2005,11155.1,120.0,High,635.152,Pasture,17.56288258558581
maize,PRHPA,9,2005,10200.16667,180.0,High,635.152,Croplands,16.059410456079803
maize,PRHPA,9,2005,10200.16667,180.0,High,635.152,Pasture,16.059410456079803
maize,PRHPA,9,2006,10052.825,60.0,Low,718.795,Croplands,13.985663506284826
maize,PRHPA,9,2006,10052.825,60.0,Low,718.795,Pasture,13.985663506284826
maize,PRHPA,9,2006,11709.9625,120.0,High,718.795,Croplands,16.291101774497598
maize,PRHPA,9,2006,11709.9625,120.0,High,718.795,Pasture,16.291101774497598
maize,PRHPA,9,2006,12105.975,180.0,High,718.795,Croplands,16.84204119394264
maize,PRHPA,9,2006,12105.975,180.0,High,718.795,Pasture,16.84204119394264
maize,PRHPA,9,2007,10574.29333,0.0,No,843.052,Croplands,12.542872005522792
maize,PRHPA,9,2007,10574.29333,0.0,No,843.052,Pasture,12.542872005522792
maize,PRHPA,9,2007,12849.8,89.998,Low,843.052,Croplands,15.242001679611695
maize,PRHPA,9,2007,12849.8,89.998,Low,843.052,Pasture,15.242001679611695
maize,PRHPA,9,2007,16456.4695,179.996,High,843.052,Croplands,19.52011204528309
maize,PRHPA,9,2007,16456.4695,179.996,High,843.052,Pasture,19.52011204528309
maize,PRHPA,9,2007,10079.175,60.0,Low,843.052,Croplands,11.955579252525347
maize,PRHPA,9,2007,10079.175,60.0,Low,843.052,Pasture,11.955579252525347
maize,PRHPA,9,2007,12975.4,120.0,High,843.052,Croplands,15.390984186028856
maize,PRHPA,9,2007,12975.4,120.0,High,843.052,Pasture,15.390984186028856
maize,PRHPA,9,2007,12320.35,180.0,High,843.052,Croplands,14.613985851406555
maize,PRHPA,9,2007,12320.35,180.0,High,843.052,Pasture,14.613985851406555
maize,PRHPA,9,2008,13404.21333,0.0,No,982.142,Croplands,13.647938210564256
maize,PRHPA,9,2008,13404.21333,0.0,No,982.142,Pasture,13.647938210564256
maize,PRHPA,9,2008,13775.0092,89.998,Low,982.142,Croplands,14.025476153142824
maize,PRHPA,9,2008,13775.0092,89.998,Low,982.142,Pasture,14.025476153142824
maize,PRHPA,9,2008,15974.8515,179.996,High,982.142,Croplands,16.265317540640762
maize,PRHPA,9,2008,15974.8515,179.996,High,982.142,Pasture,16.265317540640762
maize,PRHPA,9,2008,8567.3875,60.0,Low,982.142,Croplands,8.723165794762876
maize,PRHPA,9,2008,8567.3875,60.0,Low,982.142,Pasture,8.723165794762876
maize,PRHPA,9,2008,11963.2125,120.0,High,982.142,Croplands,12.180736085006037
maize,PRHPA,9,2008,11963.2125,120.0,High,982.142,Pasture,12.180736085006037
maize,PRHPA,9,2008,13036.325,180.0,High,982.142,Croplands,13.273360674932952
maize,PRHPA,9,2008,13036.325,180.0,High,982.142,Pasture,13.273360674932952
maize,PRHPA,9,2010,13274.14533,0.0,No,982.625,Croplands,13.50886180384175
maize,PRHPA,9,2010,13274.14533,0.0,No,982.625,Pasture,13.50886180384175
maize,PRHPA,9,2010,15183.4636,89.998,Low,982.625,Croplands,15.451941076198956
maize,PRHPA,9,2010,15183.4636,89.998,Low,982.625,Pasture,15.451941076198956
maize,PRHPA,9,2010,18767.6895,179.996,High,982.625,Croplands,19.099544078361532
maize,PRHPA,9,2010,18767.6895,179.996,High,982.625,Pasture,19.099544078361532
maize,PRHPA,9,2010,10791.925,60.0,Low,982.625,Croplands,10.982750286223126
maize,PRHPA,9,2010,10791.925,60.0,Low,982.625,Pasture,10.982750286223126
maize,PRHPA,9,2010,12647.3,120.0,High,982.625,Croplands,12.870932451342068
maize,PRHPA,9,2010,12647.3,120.0,High,982.625,Pasture,12.870932451342068
maize,PRHPA,9,2010,11549.8125,180.0,High,982.625,Croplands,11.754038926345249
maize,PRHPA,9,2010,11549.8125,180.0,High,982.625,Pasture,11.754038926345249
maize,PRHPA,9,2011,10766.13067,0.0,No,660.629,Croplands,16.29678786429297
maize,PRHPA,9,2011,10766.13067,0.0,No,660.629,Pasture,16.29678786429297
maize,PRHPA,9,2011,12576.556,89.998,Low,660.629,Croplands,19.03724480760003
maize,PRHPA,9,2011,12576.556,89.998,Low,660.629,Pasture,19.03724480760003
maize,PRHPA,9,2011,15799.6825,179.996,High,660.629,Croplands,23.916120091609663
maize,PRHPA,9,2011,15799.6825,179.996,High,660.629,Pasture,23.916120091609663
maize,PRHPA,9,2011,10421.11667,0.0,No,660.629,Croplands,15.774537100248399
maize,PRHPA,9,2011,10421.11667,0.0,No,660.629,Pasture,15.774537100248399
maize,PRHPA,9,2011,9888.625,60.0,Low,660.629,Croplands,14.96849971769329
maize,PRHPA,9,2011,9888.625,60.0,Low,660.629,Pasture,14.96849971769329
maize,PRHPA,9,2011,13417.7125,120.0,High,660.629,Croplands,20.310510891892424
maize,PRHPA,9,2011,13417.7125,120.0,High,660.629,Pasture,20.310510891892424
maize,PRHPA,9,2011,11999.75,180.0,High,660.629,Croplands,18.16412842911831
maize,PRHPA,9,2011,11999.75,180.0,High,660.629,Pasture,18.16412842911831
maize,PRHPA,9,2013,9202.716667,0.0,No,576.224,Croplands,15.970727819389682
maize,PRHPA,9,2013,9202.716667,0.0,No,576.224,Pasture,15.970727819389682
maize,PRHPA,9,2013,11659.775,60.0,Low,576.224,Croplands,20.234795843283166
maize,PRHPA,9,2013,11659.775,60.0,Low,576.224,Pasture,20.234795843283166
maize,PRHPA,9,2013,14944.175,120.0,High,576.224,Croplands,25.934662561781526
maize,PRHPA,9,2013,14944.175,120.0,High,576.224,Pasture,25.934662561781526
maize,PRHPA,9,2013,14057.3375,180.0,High,576.224,Croplands,24.395612643694115
maize,PRHPA,9,2013,14057.3375,180.0,High,576.224,Pasture,24.395612643694115
maize,PRHPA,9,2014,9173.534,0.0,No,771.627,Croplands,11.888560146288297
maize,PRHPA,9,2014,9173.534,0.0,No,771.627,Pasture,11.888560146288297
maize,PRHPA,9,2014,11451.2348,89.998,Low,771.627,Croplands,14.840375984769844
maize,PRHPA,9,2014,11451.2348,89.998,Low,771.627,Pasture,14.840375984769844
maize,PRHPA,9,2014,13668.7745,179.996,High,771.627,Croplands,17.71422526687117
maize,PRHPA,9,2014,13668.7745,179.996,High,771.627,Pasture,17.71422526687117
maize,PRHPA,9,2014,7635.200001,0.0,No,771.627,Croplands,9.894936285277732
maize,PRHPA,9,2014,7635.200001,0.0,No,771.627,Pasture,9.894936285277732
maize,PRHPA,9,2014,12856.9,60.0,Low,771.627,Croplands,16.66206599820898
maize,PRHPA,9,2014,12856.9,60.0,Low,771.627,Pasture,16.66206599820898
maize,PRHPA,9,2014,13789.6875,120.0,High,771.627,Croplands,17.870924034540007
maize,PRHPA,9,2014,13789.6875,120.0,High,771.627,Pasture,17.870924034540007
maize,PRHPA,9,2014,11884.1375,180.0,High,771.627,Croplands,15.401401843118503
maize,PRHPA,9,2014,11884.1375,180.0,High,771.627,Pasture,15.401401843118503
maize,PRHPA,9,2016,13705.21267,0.0,No,975.589,Croplands,14.048141860968093
maize,PRHPA,9,2016,13705.21267,0.0,No,975.589,Pasture,14.048141860968093
maize,PRHPA,9,2016,14471.728,89.998,Low,975.589,Croplands,14.833836789877703
maize,PRHPA,9,2016,14471.728,89.998,Low,975.589,Pasture,14.833836789877703
maize,PRHPA,9,2016,18643.856,179.996,High,975.589,Croplands,19.11035897288715
maize,PRHPA,9,2016,18643.856,179.996,High,975.589,Pasture,19.11035897288715
maize,PRHPA,9,2016,11148.25,0.0,No,975.589,Croplands,11.427199363666462
maize,PRHPA,9,2016,11148.25,0.0,No,975.589,Pasture,11.427199363666462
maize,PRHPA,9,2016,16083.97,60.0,Low,975.589,Croplands,16.48641999858547
maize,PRHPA,9,2016,16083.97,60.0,Low,975.589,Pasture,16.48641999858547
maize,PRHPA,9,2016,17558.25,120.0,High,975.589,Croplands,17.99758914870914
maize,PRHPA,9,2016,17558.25,120.0,High,975.589,Pasture,17.99758914870914
maize,PRHPA,9,2016,15991.74167,180.0,High,975.589,Croplands,16.391883949081016
maize,PRHPA,9,2016,15991.74167,180.0,High,975.589,Pasture,16.391883949081016
maize,PRHPA,9,2018,12973.37133,0.0,No,719.684,Croplands,18.026482914723687
maize,PRHPA,9,2018,12973.37133,0.0,No,719.684,Pasture,18.026482914723687
maize,PRHPA,9,2018,11709.0172,89.998,Low,719.684,Croplands,16.269664463848024
maize,PRHPA,9,2018,11709.0172,89.998,Low,719.684,Pasture,16.269664463848024
maize,PRHPA,9,2018,15404.571,179.996,High,719.684,Croplands,21.40463175504805
maize,PRHPA,9,2018,15404.571,179.996,High,719.684,Pasture,21.40463175504805
maize,PRHPA,10,1986,15287.76667,0.0,No,1012.173011,Croplands,15.103906648228147
maize,PRHPA,10,1986,15287.76667,0.0,No,1012.173011,Pasture,15.103906648228147
maize,PRHPA,10,1986,14565.385,89.998,Low,1012.173011,Croplands,14.390212781518239
maize,PRHPA,10,1986,14565.385,89.998,Low,1012.173011,Pasture,14.390212781518239
maize,PRHPA,10,1986,17197.64875,179.996,High,1012.173011,Croplands,16.990819319524416
maize,PRHPA,10,1986,17197.64875,179.996,High,1012.173011,Pasture,16.990819319524416
maize,PRHPA,10,1992,14989.54867,0.0,No,683.4499992,Croplands,21.932180390000358
maize,PRHPA,10,1992,14989.54867,0.0,No,683.4499992,Pasture,21.932180390000358
maize,PRHPA,10,1992,15320.6492,89.998,Low,683.4499992,Croplands,22.41663503977366
maize,PRHPA,10,1992,15320.6492,89.998,Low,683.4499992,Pasture,22.41663503977366
maize,PRHPA,10,1992,18407.118,179.996,High,683.4499992,Croplands,26.932647628277294
maize,PRHPA,10,1992,18407.118,179.996,High,683.4499992,Pasture,26.932647628277294
maize,PRHPA,10,1993,13638.074,0.0,No,1016.948004,Croplands,13.410787912810536
maize,PRHPA,10,1993,13638.074,0.0,No,1016.948004,Pasture,13.410787912810536
maize,PRHPA,10,1993,12821.6212,89.998,Low,1016.948004,Croplands,12.607941752742748
maize,PRHPA,10,1993,12821.6212,89.998,Low,1016.948004,Pasture,12.607941752742748
maize,PRHPA,10,1993,15934.8135,179.996,High,1016.948004,Croplands,15.669250971852048
maize,PRHPA,10,1993,15934.8135,179.996,High,1016.948004,Pasture,15.669250971852048
maize,PRHPA,10,1996,13860.766,0.0,No,543.51,Croplands,25.5023201045059
maize,PRHPA,10,1996,13860.766,0.0,No,543.51,Pasture,25.5023201045059
maize,PRHPA,10,1996,13421.274,89.998,Low,543.51,Croplands,24.693702047800407
maize,PRHPA,10,1996,13421.274,89.998,Low,543.51,Pasture,24.693702047800407
maize,PRHPA,10,1996,14221.1345,179.996,High,543.51,Croplands,26.165359423009697
maize,PRHPA,10,1996,14221.1345,179.996,High,543.51,Pasture,26.165359423009697
maize,PRHPA,10,1997,11154.92867,0.0,No,641.477,Croplands,17.389444469560093
maize,PRHPA,10,1997,11154.92867,0.0,No,641.477,Pasture,17.389444469560093
maize,PRHPA,10,1997,11821.2248,89.998,Low,641.477,Croplands,18.42813506953484
maize,PRHPA,10,1997,11821.2248,89.998,Low,641.477,Pasture,18.42813506953484
maize,PRHPA,10,1997,14142.0035,179.996,High,641.477,Croplands,22.046002428769857
maize,PRHPA,10,1997,14142.0035,179.996,High,641.477,Pasture,22.046002428769857
maize,PRHPA,10,2006,12289.35,0.0,No,692.887,Croplands,17.73644187291723
maize,PRHPA,10,2006,12289.35,0.0,No,692.887,Pasture,17.73644187291723
maize,PRHPA,10,2006,13902.6728,89.998,Low,692.887,Croplands,20.064848669407855
maize,PRHPA,10,2006,13902.6728,89.998,Low,692.887,Pasture,20.064848669407855
maize,PRHPA,10,2006,16269.48475,179.996,High,692.887,Croplands,23.480718717482073
maize,PRHPA,10,2006,16269.48475,179.996,High,692.887,Pasture,23.480718717482073
maize,PRHPA,10,2009,15952.908,0.0,No,665.785,Croplands,23.96105048927206
